Player,Season,Team,Minutes,Position,LEBRON,O LEBRON,D LEBRON,LEBRON WAR,LEBRON Contract Value,Box LEBRON,BOXOLEBRON,BOXDLEBRON
CJ McCollum,2021-22,POR/NOP,"2,145",SG,0.33,2.22,-1.89,3.8,"10,947,507.00",0.11,1.32,-1.2
Jerami Grant,2021-22,DET,"1,500",PF,0.33,-0.44,0.76,2.6,"7,646,478.00",-0.26,-0.01,-0.25
Delon Wright,2021-22,ATL,"1,452",SG,0.31,-0.56,0.87,2.5,"7,348,528.00",0.33,-0.5,0.83
Jaxson Hayes,2021-22,NOP,"1,398",C,0.3,0.09,0.21,2.4,"7,044,069.00",-0.17,-0.64,0.47
Alec Burks,2021-22,NYK,"2,318",SG,0.29,0.25,0.04,4,"11,649,109.00",0.37,-0.27,0.64
Zach Collins,2021-22,SAS,502,PF,0.28,-0.42,0.7,0.9,"2,513,415.00",-0.26,-0.85,0.59
Xavier Tillman,2021-22,MEM,701,PF,0.28,-0.53,0.81,1.2,"3,505,383.00",-0.17,-0.53,0.36
Dorian Finney-Smith,2021-22,DAL,"2,644",PF,0.26,0.11,0.15,4.5,"13,137,295.00",0.39,-0.36,0.75
Bojan Bogdanovic,2021-22,UTA,"2,131",PF,0.23,1.68,-1.44,3.6,"10,480,867.00",0.84,1.85,-1
Cameron Payne,2021-22,PHO,"1,278",PG,0.22,-0.05,0.27,2.2,"6,255,599.00",-0.33,0.22,-0.56
Jaylen Nowell,2021-22,MIN,975,SG,0.2,1.35,-1.15,1.6,"4,740,002.00",-0.48,0.63,-1.11
Dwight Powell,2021-22,DAL,"1,798",C,0.19,-0.04,0.23,3,"8,711,143.00",0.43,-0.12,0.54
Moses Brown,2021-22,DAL/CLE,344,C,0.19,-0.51,0.7,0.6,"1,665,423.00",-0.04,-0.56,0.52
Freddie Gillespie,2021-22,ORL,119,PF,0.19,-1.08,1.27,0.2,"574,157.00",-0.31,-1.09,0.79
Dwight Howard,2021-22,LAL,971,C,0.17,-0.78,0.95,1.6,"4,654,341.00",0.42,-0.76,1.18
Jalen Smith,2021-22,PHO/IND,924,PF,0.17,0.55,-0.38,1.5,"4,433,186.00",0.08,0.1,-0.02
P.J. Tucker,2021-22,MIA,"1,981",PF,0.16,-0.97,1.13,3.3,"9,480,813.00",0.11,-1.1,1.2
OG Anunoby,2021-22,TOR,"1,728",SF,0.15,-0.27,0.42,2.8,"8,221,213.00",0.13,0.04,0.09
Josh Hart,2021-22,NOP/POR,"1,791",SG-SF,0.08,-0.53,0.61,2.9,"8,299,044.00",0.69,0.09,0.6
Devin Vassell,2021-22,SAS,"1,937",SF,0.08,-0.67,0.75,3.1,"8,956,140.00",-0.49,-0.43,-0.06
Kelly Olynyk,2021-22,DET,764,C,0.07,0.24,-0.18,1.2,"3,513,420.00",-0.11,-0.11,0
Thomas Bryant,2021-22,WAS,439,C,0.06,-0.78,0.85,0.7,"2,017,878.00",0.26,-0.56,0.81
Tony Bradley,2021-22,CHI,549,C,0.04,-1.56,1.6,0.9,"2,502,295.00",-0.87,-2.03,1.15
Franz Wagner,2021-22,ORL,"2,429",SF,0.04,-0.17,0.21,3.8,"11,051,007.00",-1.87,-1.4,-0.47
Jeremy Lamb,2021-22,IND/SAC,935,SF-SG,0.03,0.11,-0.08,1.5,"4,232,785.00",-0.3,-0.03,-0.27
Trevelin Queen,2021-22,HOU,74,SG,0.03,0.13,-0.1,0.1,"337,290.00",-0.04,0.06,-0.1
P.J. Washington,2021-22,CHO,"1,768",PF,0.02,-0.18,0.2,2.7,"7,973,707.00",-0.73,-0.74,0.01
Lindy Waters III,2021-22,OKC,465,SG,0,-0.19,0.18,0.7,"2,078,056.00",-0.37,-0.36,-0.01
Jeff Green,2021-22,DEN,"1,849",C,-1,-0.78,-0.23,1.6,"4,766,912.00",-0.76,-0.56,-0.2
Russell Westbrook,2021-22,LAL,"2,678",PG,-1,0.18,-1.18,2.4,"6,928,168.00",-0.79,-0.01,-0.79
Gorgui Dieng,2021-22,ATL,371,C,-0.01,-0.62,0.61,0.6,"1,653,333.00",0.83,-0.05,0.88
Tyrone Wallace,2021-22,NOP,75,SG,-1,-0.89,-0.1,0.1,"193,922.00",-0.84,-0.87,0.03
Aaron Holiday,2021-22,WAS/PHO,"1,021",PG,-1,-1.01,0.01,0.9,"2,626,468.00",-1.41,-1,-0.41
Oshae Brissett,2021-22,IND,"1,564",SF,-1,-0.09,-0.91,1.4,"4,049,057.00",-1.19,-0.37,-0.83
