PLAYER,Team(s),Pos,G,MP,Off,Def,Tot,WAR
Dalen Terry'22-'23,Bulls,PG,214,0.9,-0.3,2.2,1.9,0.5
Precious Achiuwa'22-'23,Raptors,"PF, C","1,140",-2.4,-1.8,-0.3,-2.1,0.4
Davis Bertans'22-'23,Mavericks,"SF, PF",492,0.2,-0.3,-0.9,-1.2,0.4
Chris Duarte'22-'23,Pacers,"SG, SF",897,-1.3,-1.7,-0.1,-1.9,0.4
Kevon Harris'22-'23,Magic,SG,457,-1.6,-1.5,0.5,-1,0.4
Stanley Johnson'22-'23,Spurs,SF,469,0.8,1.1,-2,-0.9,0.4
Damian Jones'22-'23,Jazz,C,477,-2.7,-3.2,2,-1.2,0.4
Bennedict Mathurin'22-'23,Pacers,"SG, SF","2,222",-0.4,-0.9,-1.5,-2.4,0.4
Aaron Nesmith'22-'23,Pacers,SF,"1,816",-1.3,-0.9,-1.4,-2.4,0.4
Nick Richards'22-'23,Hornets,"PF, C","1,217",-0.9,-0.8,-1.3,-2.1,0.4
Patrick Beverley'22-'23,Bulls,"PG, SG, SF","1,816",-2.8,-2.7,0.2,-2.4,0.3
Max Christie'22-'23,Lakers,SG,545,-2.9,-3.3,1.7,-1.6,0.3
Kessler Edwards'22-'23,Kings,SF,392,-1.8,-0.9,-0.2,-1.1,0.3
Usman Garuba'22-'23,Rockets,"PF, C",970,-1.9,-2.6,0.5,-2.1,0.3
Josh Giddey'22-'23,Thunder,"SF, PF","2,367",0.3,-0.1,-2.3,-2.5,0.3
Alex Len'22-'23,Kings,C,215,-4.5,-4.2,3.9,-0.2,0.3
Kira Lewis Jr.'22-'23,Pelicans,PG,235,0.5,0.7,-0.6,0.1,0.3
Isaiah Livers'22-'23,Pistons,PF,"1,199",-2.5,-2.4,0.2,-2.2,0.3
Tre Mann'22-'23,Thunder,PG,"1,183",-1.5,-1.7,-0.6,-2.3,0.3
Isaiah Mobley'22-'23,Cavaliers,PF,84,-0.2,-0.5,5.3,4.8,0.3
Terrence Ross'22-'23,Suns,"SG, SF","1,399",-0.5,-0.5,-1.8,-2.3,0.3
Thaddeus Young'22-'23,Raptors,PF,795,-1.7,-2,0.2,-1.9,0.3
Brandon Boston Jr.'22-'23,Clippers,SG,249,0.9,0.2,-1.5,-1.3,0.2
Jarrell Brantley'22-'23,Jazz,PF,39,5.8,5,4,9.1,0.2
Thomas Bryant'22-'23,Nuggets,C,"1,081",-0.7,-0.7,-1.8,-2.4,0.2
