Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,NetRtg,ORtg,DRtg,Player-additional
530,James Wiseman,C,21,DET,24,22,605,10.4,19.6,0.531,0.2,1.4,0.167,10.2,18.2,0.559,3.4,4.7,0.712,4.4,11.1,15.5,1.3,0.3,1.6,3,5.5,24.4,-10,108,118,wisemja01
531,Christian Wood,C,27,DAL,67,17,1738,11.3,22,0.515,3,8,0.376,8.3,14,0.594,6.2,8,0.772,2.5,11.6,14,3.5,0.9,2.1,3.5,4.8,31.9,3,116,113,woodch01
532,Delon Wright,PG,30,WAS,50,14,1221,5.5,11.6,0.474,1.6,4.7,0.345,3.9,6.9,0.564,2.1,2.4,0.867,2.3,4.9,7.2,7.7,3.7,0.7,1.8,2.4,14.7,15,127,112,wrighde01
533,McKinley Wright IV,PG,24,DAL,27,1,335,6.8,14.5,0.469,1.3,4.2,0.321,5.5,10.4,0.529,1.9,2.8,0.684,1.3,5.6,7,8.6,1.2,0.7,2.8,3.6,16.9,-5,113,118,wrighmc01
534,Gabe York,SG,29,IND,3,0,56,6.8,17.8,0.381,5.1,15.3,0.333,1.7,2.5,0.667,1.7,1.7,1,0,5.1,5.1,4.2,1.7,0,0,4.2,20.3,2,122,120,yorkga01
535,Thaddeus Young,PF,34,TOR,54,9,795,6.7,12.3,0.545,0.4,2.1,0.176,6.3,10.2,0.622,1.1,1.6,0.692,4.4,5.9,10.3,4.7,3.4,0.3,2.6,5.5,14.9,5,117,112,youngth01
536,Trae Young,PG,24,ATL,73,73,2541,11.2,26.1,0.429,2.9,8.6,0.335,8.3,17.4,0.476,10.6,12,0.886,1.1,3,4.1,13.9,1.5,0.2,5.6,2,35.9,-3,116,119,youngtr01
537,Omer Yurtseven,C,24,MIA,9,0,83,9.6,16.2,0.593,1.8,4.2,0.429,7.8,12,0.65,3,3.6,0.833,4.8,9,13.8,1.2,1.2,1.2,2.4,9.6,24,14,126,112,yurtsom01
538,Cody Zeller,C,30,MIA,15,2,217,8.5,13.6,0.627,0,0.5,0,8.5,13.1,0.649,5.5,8,0.686,5.7,9,14.7,2.3,0.7,0.9,3.2,7.6,22.5,10,124,114,zelleco01
539,Ivica Zubac,C,25,LAC,76,76,2170,7.4,11.6,0.634,0,0,0,7.4,11.6,0.637,3.7,5.4,0.697,5.3,11.7,17.1,1.7,0.7,2.2,2.6,4.9,18.5,13,125,112,zubaciv01
